2026-06-01T10:50:00.000Z | UE=IMSI001010555000001 | CELL=NR-101 | LAYER=RRC | DIR=UE_TO_GNB | MSG=RRCSetupRequest | CAUSE=mo-Signalling
2026-06-01T10:50:00.080Z | UE=IMSI001010555000001 | CELL=NR-101 | LAYER=RRC | DIR=GNB_TO_UE | MSG=RRCSetup
2026-06-01T10:50:00.160Z | UE=IMSI001010555000001 | CELL=NR-101 | LAYER=RRC | DIR=UE_TO_GNB | MSG=RRCSetupComplete
2026-06-01T10:50:00.300Z | UE=IMSI001010555000001 | CELL=NR-101 | LAYER=NAS | DIR=UE_TO_AMF | MSG=RegistrationRequest
2026-06-01T10:50:00.460Z | UE=IMSI001010555000001 | CELL=NR-101 | LAYER=NAS | DIR=AMF_TO_UE | MSG=AuthenticationRequest
2026-06-01T10:50:00.620Z | UE=IMSI001010555000001 | CELL=NR-101 | LAYER=NAS | DIR=UE_TO_AMF | MSG=AuthenticationResponse
2026-06-01T10:50:00.780Z | UE=IMSI001010555000001 | CELL=NR-101 | LAYER=NAS | DIR=AMF_TO_UE | MSG=SecurityModeCommand
2026-06-01T10:50:00.940Z | UE=IMSI001010555000001 | CELL=NR-101 | LAYER=NAS | DIR=UE_TO_AMF | MSG=SecurityModeComplete
2026-06-01T10:50:01.120Z | UE=IMSI001010555000001 | CELL=NR-101 | LAYER=NAS | DIR=AMF_TO_UE | MSG=RegistrationAccept
2026-06-01T10:50:01.250Z | UE=IMSI001010555000001 | CELL=NR-101 | LAYER=NAS | DIR=UE_TO_AMF | MSG=RegistrationComplete
2026-06-01T10:50:10.000Z | UE=IMSI001010555000001 | CELL=NR-101 | LAYER=NGAP | DIR=GNB_TO_AMF | MSG=HandoverRequired | CAUSE=better-cell
2026-06-01T10:50:10.170Z | UE=IMSI001010555000001 | CELL=NR-202 | LAYER=NGAP | DIR=AMF_TO_GNB | MSG=HandoverRequest
2026-06-01T10:50:10.350Z | UE=IMSI001010555000001 | CELL=NR-202 | LAYER=NGAP | DIR=GNB_TO_AMF | MSG=HandoverRequestAcknowledge
2026-06-01T10:50:10.500Z | UE=IMSI001010555000001 | CELL=NR-101 | LAYER=RRC | DIR=GNB_TO_UE | MSG=HandoverCommand
2026-06-01T10:50:11.100Z | UE=IMSI001010555000001 | CELL=NR-202 | LAYER=NGAP | DIR=GNB_TO_AMF | MSG=HandoverNotify
