2026-06-01T10:15:01.120Z | UE=IMSI001010123456789 | CELL=NR-101 | LAYER=RRC | DIR=UE_TO_GNB | MSG=RRCSetupRequest | CAUSE=mo-Signalling
2026-06-01T10:15:01.180Z | UE=IMSI001010123456789 | CELL=NR-101 | LAYER=RRC | DIR=GNB_TO_UE | MSG=RRCSetup
2026-06-01T10:15:01.250Z | UE=IMSI001010123456789 | CELL=NR-101 | LAYER=RRC | DIR=UE_TO_GNB | MSG=RRCSetupComplete
2026-06-01T10:15:01.300Z | UE=IMSI001010123456789 | CELL=NR-101 | LAYER=NGAP | DIR=GNB_TO_AMF | MSG=InitialUEMessage
2026-06-01T10:15:01.400Z | UE=IMSI001010123456789 | CELL=NR-101 | LAYER=NAS | DIR=UE_TO_AMF | MSG=RegistrationRequest
2026-06-01T10:15:01.620Z | UE=IMSI001010123456789 | CELL=NR-101 | LAYER=NAS | DIR=AMF_TO_UE | MSG=AuthenticationRequest
2026-06-01T10:15:01.850Z | UE=IMSI001010123456789 | CELL=NR-101 | LAYER=NAS | DIR=UE_TO_AMF | MSG=AuthenticationResponse
2026-06-01T10:15:02.030Z | UE=IMSI001010123456789 | CELL=NR-101 | LAYER=NAS | DIR=AMF_TO_UE | MSG=SecurityModeCommand
2026-06-01T10:15:02.190Z | UE=IMSI001010123456789 | CELL=NR-101 | LAYER=NAS | DIR=UE_TO_AMF | MSG=SecurityModeComplete
2026-06-01T10:15:02.350Z | UE=IMSI001010123456789 | CELL=NR-101 | LAYER=NGAP | DIR=AMF_TO_GNB | MSG=InitialContextSetupRequest
2026-06-01T10:15:02.500Z | UE=IMSI001010123456789 | CELL=NR-101 | LAYER=NGAP | DIR=GNB_TO_AMF | MSG=InitialContextSetupResponse
2026-06-01T10:15:02.650Z | UE=IMSI001010123456789 | CELL=NR-101 | LAYER=NAS | DIR=AMF_TO_UE | MSG=RegistrationAccept
2026-06-01T10:15:02.780Z | UE=IMSI001010123456789 | CELL=NR-101 | LAYER=NAS | DIR=UE_TO_AMF | MSG=RegistrationComplete
